               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11638,            0.041843,            0.026663,          0.00088476,                0.27,           0.0012332,          0.00035148,             0.11004,            0.035814,            0.024141,              0.0011,              0.0011,              0.0901
                   1,             0.10816,            0.049099,            0.024192,           0.0034557,               0.535,            0.017457,           0.0057985,            0.097204,            0.036738,            0.021544,           0.0021861,           0.0021861,            0.079186
                   2,            0.097436,            0.050622,            0.020755,            0.006109,                0.63,            0.033745,           0.0099647,            0.081522,            0.037567,            0.016729,           0.0031535,           0.0031535,            0.068154
                   3,            0.088642,            0.051606,            0.016603,           0.0073751,               0.875,            0.041488,            0.011761,            0.077764,            0.033723,            0.011348,           0.0040021,           0.0040021,            0.057002
                   4,            0.088195,            0.042615,            0.012377,             0.58693,                 0.3,             0.08452,            0.026538,            0.080906,            0.026605,           0.0081204,           0.0047318,           0.0047318,            0.045732
                   5,            0.085574,            0.040031,            0.011353,           0.0070487,                0.38,            0.012702,           0.0044127,             0.11069,            0.019524,           0.0070693,           0.0053428,           0.0053428,            0.034343
                   6,             0.10348,            0.030799,            0.010274,              0.5945,                0.08,            0.095222,            0.035329,            0.097982,            0.020235,           0.0080339,           0.0058349,           0.0058349,            0.022835
                   7,            0.094213,            0.033867,           0.0089469,             0.69882,                 0.3,             0.27292,            0.088635,            0.092159,            0.020233,           0.0078938,           0.0062083,           0.0062083,            0.011208
                   8,            0.088416,            0.036041,           0.0090213,             0.71496,                0.28,              0.2201,            0.058139,            0.099063,            0.016466,           0.0050278,             0.00604,             0.00604,             0.00604
                   9,            0.094642,            0.030997,           0.0059319,             0.59469,                0.12,            0.091634,            0.025293,            0.090832,             0.01824,           0.0044564,             0.00604,             0.00604,             0.00604
                  10,            0.090414,            0.030855,           0.0052886,             0.53619,                0.08,            0.053625,            0.021229,             0.10796,            0.015976,           0.0042354,            0.005545,            0.005545,            0.005545
                  11,             0.09416,            0.027473,           0.0050828,             0.67241,                0.38,             0.22786,            0.071775,            0.083941,             0.01724,           0.0044739,             0.00505,             0.00505,             0.00505
                  12,            0.076857,            0.026802,           0.0054438,             0.74788,                0.24,             0.30456,            0.084103,            0.083188,            0.016444,           0.0039114,            0.004555,            0.004555,            0.004555
                  13,             0.07609,            0.028077,           0.0052739,             0.76809,                0.32,             0.36935,             0.13678,            0.069274,            0.017431,           0.0036123,             0.00406,             0.00406,             0.00406
                  14,            0.069739,            0.031288,           0.0044582,             0.76055,             0.34834,             0.35595,             0.12305,            0.070982,            0.016262,           0.0033372,            0.003565,            0.003565,            0.003565
                  15,            0.074298,            0.026889,           0.0040743,             0.31525,               0.565,              0.4938,              0.2125,            0.067682,            0.015654,           0.0035025,             0.00307,             0.00307,             0.00307
                  16,            0.067466,            0.029203,           0.0039925,             0.39052,               0.585,             0.46667,             0.15032,            0.065991,            0.015416,           0.0033892,            0.002575,            0.002575,            0.002575
                  17,            0.066819,            0.027384,           0.0033438,             0.65329,               0.565,             0.63194,             0.32164,            0.056986,             0.01477,           0.0034325,             0.00208,             0.00208,             0.00208
                  18,            0.057283,            0.024068,           0.0031123,             0.68971,             0.56095,             0.62957,             0.32248,            0.054805,            0.014548,           0.0033854,            0.001585,            0.001585,            0.001585
                  19,            0.055163,            0.026114,           0.0036305,             0.85209,             0.56329,             0.69531,             0.44573,            0.049246,            0.014833,           0.0033585,             0.00109,             0.00109,             0.00109
